Wavelength(m)	Real part	Imaginary part	
1.879E-7	0.22706	3.0413
1.916E-7	0.29519	3.1759
1.953E-7	0.29252	3.2857
1.993E-7	0.2039	3.3277
2.033E-7	0.13817	3.3968
2.073E-7	-0.010416	3.3904
2.119E-7	-0.1325	3.51
2.164E-7	-0.23377	3.6062
2.214E-7	-0.34633	3.7102
2.262E-7	-0.4155	3.8252
2.313E-7	-0.55101	3.8922
2.371E-7	-0.6169	4.055
2.426E-7	-0.74453	4.1633
2.490E-7	-0.89126	4.3385
2.551E-7	-1.0804	4.4901
2.616E-7	-1.2365	4.7223
2.689E-7	-1.3464	4.9763
2.761E-7	-1.3665	5.2824
2.844E-7	-1.3323	5.4949
2.924E-7	-1.3068	5.5964
3.009E-7	-1.2274	5.7803
3.107E-7	-1.2425	5.7926
3.204E-7	-1.2308	5.8458
3.315E-7	-1.3553	5.5737
3.425E-7	-1.3102	5.5382
3.542E-7	-1.232	5.598
3.679E-7	-1.4006	5.6092
3.815E-7	-1.6049	5.6444
3.974E-7	-1.6494	5.7389
4.133E-7	-1.7022	5.7174
4.305E-7	-1.6922	5.6492
4.509E-7	-1.759	5.2826
4.714E-7	-1.7027	4.8444
4.959E-7	-2.2783	3.8126
5.209E-7	-3.9462	2.5804
5.486E-7	-5.8421	2.1113
5.821E-7	-8.1127	1.6605
6.168E-7	-10.662	1.3742
6.595E-7	-13.648	1.0352
7.045E-7	-16.818	1.0668
7.56E-7	-20.61	1.2718
8.211E-7	-25.811	1.6266
8.92E-7	-32.041	1.9254
9.84E-7	-40.274	2.794
1.088E-6	-51.05	3.861
1.216E-6	-66.219	5.7015
1.393E-6	-90.426	8.1863
1.61E-6	-125.35	12.555
1.937E-6	-189.04	25.355
